Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Month Name,Quarter,Day Name,Profit Margin
2024-12-31,Printer,Office,North,4,3640,348.93,2024,12,December,4,Tuesday,9.585989010989012
2022-11-27,Mouse,Accessories,East,7,1197,106.53,2022,11,November,4,Sunday,8.899749373433584
2022-05-11,Tablet,Electronics,South,5,5865,502.73,2022,5,May,2,Wednesday,8.571696504688832
2024-03-16,Mouse,Accessories,South,2,786,202.87,2024,3,March,1,Saturday,25.810432569974555
2022-09-10,Mouse,Accessories,West,1,509,103.28,2022,9,September,3,Saturday,20.290766208251476
2023-12-01,Camera,Electronics,West,1,524,106.35,2023,12,December,4,Friday,20.295801526717558
2023-10-09,Headphones,Accessories,North,7,6167,1027.98,2023,10,October,4,Monday,16.669044916491004
2022-01-14,Camera,Electronics,South,7,3059,873.5,2022,1,January,1,Friday,28.555083360575352
2022-04-02,Smartwatch,Electronics,East,9,5526,595.28,2022,4,April,2,Saturday,10.772348896127395
2024-10-22,Printer,Office,South,8,672,186.37,2024,10,October,4,Tuesday,27.73363095238096
2023-12-04,Monitor,Accessories,South,6,7074,1357.68,2023,12,December,4,Monday,19.19253604749788
2022-09-27,Smartwatch,Electronics,East,2,502,137.4,2022,9,September,3,Tuesday,27.37051792828685
2023-12-21,Tablet,Electronics,North,7,7462,2166.17,2023,12,December,4,Thursday,29.02934870008041
2024-02-03,Smartphone,Electronics,West,5,4205,585.29,2024,2,February,1,Saturday,13.918906064209274
2023-10-10,Camera,Electronics,West,1,570,138.54,2023,10,October,4,Tuesday,24.305263157894736
2022-10-16,Headphones,Accessories,East,1,441,102.42,2022,10,October,4,Sunday,23.22448979591837
2022-05-15,Mouse,Accessories,North,7,7469,589.81,2022,5,May,2,Sunday,7.89677332976302
2023-02-11,Tablet,Electronics,South,2,2212,145.75,2023,2,February,1,Saturday,6.589059674502712
2023-12-27,Tablet,Electronics,East,5,740,146.39,2023,12,December,4,Wednesday,19.782432432432437
2023-10-05,Headphones,Accessories,North,1,662,193.92,2023,10,October,4,Thursday,29.29305135951661
2024-03-05,Mouse,Accessories,North,7,5712,651.27,2024,3,March,1,Tuesday,11.401785714285714
